raw_text,cyber attack
"When we think of tipping, many don’t see it as anything beyond a display of gratitude. However, Twitter’s latest feature is prompting its users to rethink this sentiment. It hasn’t been long since Twitter released their new Tip Jar feature, which allows users on the platform to send tips to designated accounts. However, online users and security experts are already exposing the vulnerabilities in its architecture.  Twitter’s Tip Jar has sparked concerns over user privacy due […]
The post Keep the Change: 3 Tips for Using the Twitter Tip Jar (https://www.mcafee.com/blogs/consumer/consumer-cyber-awareness/keep-the-change-3-tips-for-using-the-twitter-tip-jar/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Windows PoC Exploit Released for Wormable RCE
https://threatpost.com/windows-exploit-wormable-rce/166289/

The exploit pries open CVE-2021-31166, a bug with a CVSS score of 9.8 that was the baddest of the bad in Microsoft's Patch Tuesday release last week.",0
"Why Coin Miners Go Bad & How to Protect Your Tech When They Do
https://www.mcafee.com/blogs/consumer/why-coin-miners-go-bad-how-to-protect-your-tech-when-they-do/",0
"The What and Why of Ethical Hacking
https://www.ehacking.net/2021/02/the-what-and-why-of-ethical-hacking.html

Ethical hacking refers to gaining unauthorized access to a system through different strategies. An ethical hack is carried out by following the footsteps of real hackers who mean harm to the system. By duplicating their strategies ethical hackers can identify vulnerabilities in the system. Once these activities are identified there is a better chance of […]
The post The What and Why of Ethical Hacking (https://www.ehacking.net/2021/02/the-what-and-why-of-ethical-hacking.html) appeared first on Ehacking (https://www.ehacking.net/).",0
"Apple’s Device Location-Tracking System Could Expose User Identities
https://threatpost.com/apples-location-system-expose-identities/164615/

Researchers have identified two vulnerabilities in the company’s crowd-sourced Offline Finding technology that could jeopardize its promise of privacy.",0
"Microsoft Exchange Exploits Pave a Ransomware Path
https://threatpost.com/microsoft-exchange-exploits-ransomware/164719/

As attacks double every hour, hackers are exploiting vulnerable Microsoft Exchange servers and installing a new family of ransomware called DearCry.",1
"The McAfee Labs Advanced Threat Research team is committed to uncovering security issues in both software and hardware to help developers provide safer products for businesses and consumers. We recently investigated software installed on computers used in K-12 school districts. The focus of this blog is on Netop Vision Pro produced by Netop. Our research […]
The post Netop Vision Pro – Distance Learning Software is 20/20 in Hindsight (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/netop-vision-pro-distance-learning-software-is-20-20-in-hindsight/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Microsoft investigates Outlook issues with security keys, search Microsoft is investigating several issues impacting Outlook customers and leading to problems related to security keys, search results, and more.",0
"Naked Security Live – Lessons beyond ransomware
https://nakedsecurity.sophos.com/2021/03/29/naked-security-live-lessons-beyond-ransomware/

Cybercrime isn't about just one sort of attack, one type of crook, or one method of protection!",1
"RSA Conference 2021: The Best Place to Strengthen Your Resilience
https://www.mcafee.com/blogs/enterprise/rsa-conference-2021-the-best-place-to-strengthen-your-resilience/",0
"5 Fun Ways to Keep Family Connections Strong (and Secure) This Holiday The reality is beginning to hit: The holiday season will look and feel different this year. Traditional family gatherings, complete with mile-long dinner tables and flag football games, are now considered COVID “super spreader” events, putting a dent in plans for large gatherings. […]
The post 5 Fun Ways to Keep Family Connections Strong (and Secure) This Holiday  (https://www.mcafee.com/blogs/consumer/family-safety/5-fun-ways-to-keep-family-connections-strong-and-secure-this-holiday/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"FBI Claws Back Millions of DarkSide’s Ransom Profits
https://threatpost.com/fbi-claws-back-millions-darksides-ransom/166705/

The tables have been turned, the FBI & DOJ said after announcing the use of blockchain technology to track down the contents of DarkSide's cryptocurrency wallet.",1
"Tax Season is Here: Avoid These Common Scams Targeting Canadians  
https://www.mcafee.com/blogs/consumer/tax-season-is-here-avoid-these-common-scams-targeting-canadians/",0
China plans to toss foreign-made PCs from government agencies 'in two years' Just like it was supposed to do in 2019,0
"Another Chrome zero-day exploit – so get that update done!
https://nakedsecurity.sophos.com/2021/03/04/another-chrome-zero-day-exploit-so-get-that-update-done/

It's déjà vu all over again! New month, new Chrome zero-day bug being exploited in the wild.",0
"When you open your laptop or your mobile device, what is the first thing you do? Do you head to your favorite social media site to skim the latest news, or do you place your weekly grocery delivery order? No matter what your daily online habits are, even the slightest degree of caution can go a long way in staying secure online. That’s because […]
The post 5 Ways to Protect Your Online Privacy (https://www.mcafee.com/blogs/consumer/consumer-cyber-awareness/5-ways-to-protect-your-online-privacy/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Access Target’s Webcam, Microphone, Device location, and more
https://www.ehacking.net/2021/06/access-targets-webcam-microphone-device-location-and-more.html

Cybercriminals and black hat hackers exploit system vulnerabilities and human weaknesses as well. This tutorial discusses how a malicious actor can access any mobile or computer camera, microphone, physical location, and device information by just sending a URL along with some basic social engineering techniques. Throughout this tutorial, we will glance at How Hackers Access […]
The post Access Target’s Webcam, Microphone, Device location, and more (https://www.ehacking.net/2021/06/access-targets-webcam-microphone-device-location-and-more.html) appeared first on Ehacking (https://www.ehacking.net/).",1
"Ex-Google, Uber AI heads launch ML error-detection platform 'Soul-sucking' data problems were impetus for the founding of Galileo",0
"Magecart Attackers Save Stolen Credit-Card Data in .JPG File
https://threatpost.com/magecart-attackers-stolen-data-jpg/164815/

Researchers from Sucuri discovered the tactic, which creatively hides malicious activity until the info can be retrieved, during an investigation into a compromised Magento 2 e-commerce site.",1
"Microsoft Patch Tuesday Updates Fix 14 Critical Bugs
https://threatpost.com/microsoft-patch-tuesday-updates-critical-bugs/164621/

Microsoft's regularly scheduled March Patch Tuesday updates address 89 CVEs overall.",0
"Tax Phish Swims Past Google Workspace Email Security
https://threatpost.com/tax-phish-google-workspace-email-security/165376/

Crooks are looking to harvest email credentials with a savvy campaign that uses the Typeform service to host the phishing page.",1
"Ransomware’s New Swindle: Triple Extortion
https://threatpost.com/ransomwares-swindle-triple-extortion/166149/

Ransomware attackers are now demanding cash from the customers of victims too.  ",1
"How Apple’s AirTag turns us into unwitting spies in a vast surveillance network
https://www.theguardian.com/technology/2021/may/17/how-apples-airtag-turns-us-into-unwitting-spies-in-a-vast-surveillance-network

The tech giant says it has security safeguards in place. But these tracking devices can be hacked and put to other nefarious purposesApple has launched the latest version of its operating system, iOS 14.5, which features the much-anticipated app tracking transparency function, bolstering the tech giant’s privacy credentials.But iOS 14.5 also introduced support for the new Apple AirTag (https://www.theguardian.com/technology/2021/apr/20/apple-launches-new-imac-and-ipad-pro), which risks doing the opposite. Related: Apple launches new iMac, iPad Pro, AirTags and Podcast subscriptions (https://www.theguardian.com/technology/2021/apr/20/apple-launches-new-imac-and-ipad-pro) Being around someone with an AirTag is *very* annoying  pic.twitter.com/GZj8ZeTCck (https://t.co/GZj8ZeTCck)A security researcher has found out the microcontroller inside Apple's #AirTag (https://twitter.com/hashtag/AirTag?src=hash&ref_src=twsrc%5Etfw) can be reprogrammed, opening the door to AirTag modifications and potential malicious uses. https://t.co/PAKPZab7Ov pic.twitter.com/UVTvPl41Sn (https://t.co/UVTvPl41Sn)Amazon Sidewalk could help extend the reach of your Wi-Fi, but the company's data-collection habits may outweigh the feature's benefits. https://t.co/gcCKqLJDFy Continue reading... (https://www.theguardian.com/technology/2021/may/17/how-apples-airtag-turns-us-into-unwitting-spies-in-a-vast-surveillance-network)",0
"The Rise of the Dark Web Gig Economy
https://www.mcafee.com/blogs/consumer/consumer-cyber-awareness/the-rise-of-the-dark-web-gig-economy/",0
"Spotlight on Cybercriminal Supply Chains
https://threatpost.com/spotlight-on-the-cybercriminal-supply-chains/165552/

In this Threatpost podcast Fortinet’s top researcher outlines what a cybercriminal supply chain is and how much the illicit market is worth.",0
"As people turn to the Internet for news and answers to tough questions, it only makes sense that it would come to know you better than your closest friends and family. When we go online for answers to personal questions, we’re sharing our deepest secrets with search engines. While some people are happy to share that level of […]
The post Private browsing vs VPN – Which one is more private? (https://www.mcafee.com/blogs/consumer/consumer-cyber-awareness/private-browsing-vs-vpn-which-one-is-more-private/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"It’s Time to Have “The Talk” About the Internet: 7 Conversation-Starters for Staying Much Safer Online With Safer Internet Day upon us, it’s time to have “The Talk.” The internet talk, that is. What’s the internet talk? It’s a candid conversation about how safe we’re really being when we go online, as opposed to how […]
The post Lets Have “The Talk” About the Internet: 7 Conversation-Starters for Staying Safer Online (https://www.mcafee.com/blogs/consumer/lets-have-the-talk-about-the-internet-7-conversation-starters-for-staying-safer-online/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Overview For the March 2021 Patch Tuesday, Microsoft released a set of seven DNS vulnerabilities. Five of the vulnerabilities are remote code execution (RCE) with critical CVSS (Common Vulnerability Scoring Standard) scores of 9.8, while the remaining two are denial of service (DoS). Microsoft shared detection guidance and proofs of concept with MAPP members for […]
The post Seven Windows Wonders – Critical Vulnerabilities in DNS Dynamic Updates (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/seven-windows-wonders-critical-vulnerabilities-in-dns-dynamic-updates/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",1
"Latest Mirai Variant Targets SonicWall, D-Link and IoT Devices
https://threatpost.com/mirai-variant-sonicwall-d-link-iot/164811/

A new Mirai variant is targeting known flaws in D-Link, Netgear and SonicWall devices, as well as newly-discovered flaws in unknown IoT devices.",1
"Critical vulnerabilities found in 'millions of Aruba and Avaya switches' Airports, hospitals, hotels, and more need to deploy patches for hijack bugs",0
Qualcomm sampling Wi-Fi 7 silicon for next-gen access points OEMs able to develop new products with aim of 10Gbps-plus throughput,0
"Hades Ransomware Gang Exhibits Connections to Hafnium
https://threatpost.com/hades-ransomware-connections-hafnium/165069/

There could be more than immediately meets the eye with this targeted attack group.",1
"What a Year It’s Been: RSA 2021 Embraces ‘Resilience’
https://threatpost.com/rsa-2021-embraces-resilience/166233/

Keynoters from Cisco, Netflix and RSA highlighted lessons from the last year, and cybersecurity's new mandate in the post-pandemic world: Bounce back stronger.",0
"Babuk Ransomware
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/babuk-ransomware/",1
"The Road to XDR
https://www.mcafee.com/blogs/enterprise/security-operations/the-road-to-xdr/",0
"An international incident or just some finger trouble at the console? 
Who, Me? All routers are equal, but some are more equal than others",0
"Why MITRE ATT&CK Matters?
https://www.mcafee.com/blogs/enterprise/security-operations/why-mitre-attck-matters/",0
"Peloton’s Leaky API Spilled Riders’ Private Data
https://threatpost.com/pelotons-spilled-riders-data/165880/

On top of the privacy spill, Peloton is also recalling all treadmills after the equipment was linked to 70 injuries and the death of one child.",0
"Conti Gang Demands $40M Ransom from Florida School District
https://threatpost.com/conti-40m-ransom-florida-school/165258/

New details of negotiation between attackers and officials from Broward County Public Schools emerge after a ransomware attack early last month.",1
"Volkswagen to put Qualcomm tech under the hood across all brands CEO says Intel may yet end up inside, through its Mobileye tech",0
"‘Fancy Lazarus’ Cyberattackers Ramp up Ransom DDoS Efforts
https://threatpost.com/fancy-lazarus-cyberattackers-ransom-ddos/166811/

The group, known for masquerading as various APT groups, is back with a spate of attacks on U.S. companies.",1
"Each year, MITRE Engenuity™ conducts independent evaluations of cybersecurity products to help government and industry make better decisions to combat security threats and improve industry’s threat detection capabilities. These evaluations are based on MITRE ATT&CK®, which is widely recognized as the de facto framework for tracking adversarial tactics and techniques. At McAfee we know that cybercriminals […]
The post McAfee Provides Max Cyber Defense Capabilities in MITRE’s Carbanak+FIN7 ATT&CK® Evaluation (https://www.mcafee.com/blogs/enterprise/security-operations/mcafee-provides-max-cyber-defense-capabilities-in-mitres-carbanakfin7-attck-evaluation/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Bose Admits Ransomware Hit: Employee Data Accessed
https://threatpost.com/bose-ransomware-employee-data/166443/

The consumer-electronics stalwart was able to recover without paying a ransom, it said.",1
"FIN8 Resurfaces with Revamped Backdoor Malware
https://threatpost.com/fin8-resurfaces-backdoor-malware/164684/

The financial cyber-gang is running limited attacks ahead of broader offensives on point-of-sale systems.",1
"Never say never! Warren Buffett caught up in integer overflow error…
https://nakedsecurity.sophos.com/2021/05/10/never-say-never-warren-buffett-caught-up-in-integer-overflow-error/

640Kbytes of RAM should be enough for anyone...",0
"COVID-19 Vaccine Spear-Phishing Attacks Jump 26 Percent
https://threatpost.com/covid-19-vaccine-spear-phishing-attacks/164489/

Cybercriminals are using the COVID-19 vaccine to steal Microsoft credentials, infect systems with malware and bilk victims out of hundreds of dollars.",1
"FBI: APTs Actively Exploiting Fortinet VPN Security Holes
https://threatpost.com/fbi-apts-actively-exploiting-fortinet-vpn-security-holes/165213/

Three security vulnerabilities in the Fortinet SSL VPN are being used to gain a foothold within networks before moving laterally and carrying out recon.",1
"Truebill, Chargebee, Fusebill and other financial apps have been inundating my social feeds and until recently I didn’t understand why I would need one of these apps. I’m the type that knows her bank account  balance to the penny and I was shocked to discover that many of my co-workers and, of course, my college […]
The post What Truebill and Other Financial Apps Have in Common With EDR (https://www.mcafee.com/blogs/enterprise/endpoint-security/what-truebill-and-other-financial-apps-have-in-common-with-edr/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
Cloud costs a continuous headache? Consider continuous optimization instead Find out how it works with this online session,0
"Bogus Android Clubhouse App Drops Credential-Swiping Malware
https://threatpost.com/android-clubhouse-app-malware/164915/

The malicious app spreads the BlackRock malware, which steals credentials from 458 services - including Twitter, WhatsApp, Facebook and Amazon.",1
"Balancing Digital: Helping Your Family Manage Ongoing Stress Editor’s Note: This is part I in a series on helping families protect their mental and digital health in times of chronic stress. The content is not intended to be a substitute for professional advice or treatment. The data continues to confirm that living with the stress […]
The post Balancing Digital: Helping Your Family Manage Ongoing Stress (https://www.mcafee.com/blogs/consumer/family-safety/balancing-digital-helping-your-family-manage-ongoing-stress/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"On the Taxonomy and Evolution of Ransomware
https://threatpost.com/taxonomy-evolution-ransomware/166462/

Not all ransomware is the same! Oliver Tavakoli, CTO at Vectra AI, discusses the different species of this growing scourge.",1
"GEICO Alerts Customers Hackers Stole Driver License Data for Two Months
https://threatpost.com/geico-alerts-hackers-stole-driver-license-data/165493/

The second-largest auto insurance provider in the U.S. has since fixed the vulnerability that exposed information from its website.",1
"RISC-V CEO seeks 'world domination' by winning over the likes of Intel 
Interview We speak to the head of ISA's governing body on industry adoption, timelines, and more",0
"Banking Attacks Surge Along with Post-COVID Economy
https://threatpost.com/banking-attacks-surge-along-with-post-covid-economy/166612/

FinTech fraud spikes 159 percent in Q1 2021 along with stimulus spending.",1
"VMware warns of critical bug in default vCenter Server installs VMware warns customers to immediately patch a critical arbitrary file upload vulnerability in the Analytics service, impacting all appliances running default vCenter Server 6.7 and 7.0 deployments.",0
"How to hack a bicycle – Peloton Bike+ rooting bug patched
https://nakedsecurity.sophos.com/2021/06/17/how-to-hack-a-bicycle-peloton-bike-rooting-bug-patched/

It's a bike, Jim, but not as we know it.",1
"D-Link, IoT Devices Under Attack By Tor-Based Gafgyt Variant
https://threatpost.com/d-link-iot-tor-gafgyt-variant/164529/

A new variant of the Gafgyt botnet - that's actively targeting vulnerable D-Link and Internet of Things devices - is the first variant of the malware to rely on Tor communications, researchers say.",1
"S3 Ep34: Apple bugs, scammers busted, and how crooks bypass 2FA [Podcast]
https://nakedsecurity.sophos.com/2021/05/26/s3-ep34-apple-bugs-scammers-busted-and-how-crooks-bypass-2fa-podcast/

Latest episode - listen now. (And please leave us a review if you like what you hear!)",1
"Security Researcher Hides ZIP, MP3 Files Inside PNG Files on Twitter
https://threatpost.com/researcher-hides-files-in-png-twitter/164881/

The newly discovered steganography method could be exploited by threat actors to obscure nefarious activity inside photos hosted on the social-media platform.",0
"Top Phishing Lures to Look Out for This Holiday Season And just like that, the holidays are here! That means it’s time to grab your devices and credit cards for some online holiday shopping. But while you plan to share the merry and shop for gifts, criminals are preparing some not-so-festive tricks of their own. According […]
The post Top Phishing Lures to Look Out for This Holiday Season (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/top-phishing-lures-to-look-out-for-this-holiday-season/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",1
"Something you’ll want to know about all those movies, mp3s, eBooks, air miles, and hotel points you’ve accrued over the years: they’re digital assets that can factor into a divorce settlement.  Understandably, several factors determine the distribution of assets in a divorce. However, when it comes to dividing digital assets, divorce settlements and proceedings are charting new territory. The rate of digital innovation and adoption in recent years has filled […]
The post Digital Divorce: Who Gets the Airline Miles and Music Files? (https://www.mcafee.com/blogs/consumer/digital-divorce-who-gets-the-airline-miles-and-music-files/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"How the NAME:WRECK Bugs Impact Consumers, Businesses
https://threatpost.com/namewreck-bugs-businesses/165385/

How this class of vulnerabilities will impact millions connected devices and potentially wreck the day of IT security professionals.",0
"LinkedIn settles Dept of Labor charges it underpaid women Microsoft's social network for thinkfluencers disagrees with Uncle Sam, coughs up $1.8m",0
"“Face of Anonymous” suspect deported from Mexico to face US hacking charges
https://nakedsecurity.sophos.com/2021/06/15/face-of-anonymous-suspect-deported-from-mexico-to-face-us-hacking-charges/

After nearly a decade as a US expat dubbed ""The Face of Anoynmous"", he's back in the US facing cybercrime charges from almost a decade ago.",0
"‘Battle for the Galaxy’ Mobile Game Leaks 6M Gamer Profiles
https://threatpost.com/battle-for-the-galaxy-leaks/166659/

Unprotected server exposes AMT Games user data containing user emails and purchase information.",0
"A new wave of fraudulent apps has made its way to the Google Play store, targeting Android users in Southwest Asia and the Arabian Peninsula as well—to the tune of more than 700,000 downloads before detection by McAfee Mobile Research and co-operation with Google to remove the apps. Figure 1. Infected Apps on Google Play […]
The post Clever Billing Fraud Applications on Google Play: Etinu (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/clever-billing-fraud-applications-on-google-play-etinu/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",1
"Security Bug Allows Attackers to Brick Kubernetes Clusters
https://threatpost.com/security-bug-brick-kubernetes-clusters/165413/

The vulnerability is triggered when a cloud container pulls a malicious image from a registry.",0
"Microsoft Has Busy April Patch Tuesday with Zero-Days, Exchange Fixes
https://threatpost.com/microsoft-april-patch-tuesday-zero-days/165393/

Microsoft fixes 110 vulnerabilities, with 19 classified as critical and another flaw under active attack.",1
"Hiccup in Akamai’s DDoS Mitigation Service Triggers Massive String of Outages
https://threatpost.com/hiccup-akamais-ddos-outages/167004/

An hour-long outage hit airlines, banks and the Hong Kong Stock exchange. It's thought to have been caused by a DDoS mitigation service.",1
"Putting Protection to The Test  This year has thrown a lot of challenges at us, and our digital lives were not immune. As millions of people around the world suddenly switched to working and learning online from home during the pandemic, digital threats spiked, making security and performance essential. At McAfee, we are hyperaware of […]
The post Putting Protection to The Test (https://www.mcafee.com/blogs/consumer/putting-protection-to-the-test/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"What is your organization’s readiness for the emerging eXtended Detection Response (XDR) technology? McAfee just released the first iteration of this technology, MVISION XDR. As XDR capabilities become available, organizations need to think through how to embrace the new security operations technology destined to empower detection and response capabilities. XDR is a journey for people and organizations.  The cool thing about […]
The post Are You Ready for XDR? (https://www.mcafee.com/blogs/enterprise/endpoint-security/are-you-ready-for-xdr/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Signal founder: I hacked police phone-cracking tool Cellebrite
https://www.theguardian.com/technology/2021/apr/22/signal-founder-i-hacked-police-phone-cracking-tool-cellebrite

Moxie Marlinspike accuses surveillance firm of being ‘linked to persecution’ around the worldThe CEO of the messaging app Signal claims to have hacked the phone-cracking tools used by police in Britain and around the world to extract information from seized devices.In an online post (https://signal.org/blog/cellebrite-vulnerabilities/), Moxie Marlinspike, the security researcher who founded Signal in 2013, detailed a series of vulnerabilities in the surveillance devices, made by the Israeli company Cellebrite. Continue reading... (https://www.theguardian.com/technology/2021/apr/22/signal-founder-i-hacked-police-phone-cracking-tool-cellebrite)",1
"Feds Shut Down Fake COVID-19 Vaccine Phishing Website
https://threatpost.com/feds-fake-covid-19-vaccine-phishing-website/165872/

‘Freevaccinecovax.org’ claimed to be that of a biotech company but instead was stealing info from visitors to use for nefarious purposes.",1
"Only Microsoft can give open-source the gift of NTFS. Only Microsoft needs to 
Opinion Forget the days of NT (Nineties Tyranny), let's change that to New Trust. Corporate IT is watching",0
"Protect Your Digital Wellness: Don’t Post Your Vaccination Card Online
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/protect-your-digital-wellness-dont-post-your-vaccination-card-online/",0
"Google Patches Actively-Exploited Flaw in Chrome Browser
https://threatpost.com/google-patches-actively-exploited-flaw-in-chrome-browser/164468/

A flaw (CVE-2021-21166) in the Audio component of Google Chrome is fixed in a new update being pushed out to Windows, Mac and Linux users.",0
Cryptocurrency laundromat Blender shredded by US Treasury in sanctions first Helping North Korea? Uncle Sam would like a word,0
Ransomware plows through farm machinery giant AGCO John Deere rival says it may be days or 'potentially longer' before some production facilities are back in action,1
"Microsoft, Google Clouds Hijacked for Gobs of Phishing
https://threatpost.com/microsoft-google-clouds-hijacked-phishing/166329/

Attackers sent 52M malicious messages leveraging the likes of Office 365, Azure, OneDrive, SharePoint, G-Suite and Firebase storage in Q1 2021.",1
"Serious Security: Mac “supply chain” backdoor takes aim at Xcode devs
https://nakedsecurity.sophos.com/2021/03/19/serious-security-mac-supply-chain-backdoor-takes-aim-at-xcode-devs/

Just one tiny line of script in your Xcode project - and you've been pwned!",1
World needs multilateral chip tech export bans to hurt China – think tank Current arrangements may promote offshore workarounds and don't make life hard enough,0
How to fix the Windows 0x0000011b network printing error A Windows security update released in January and now fully enforced this month is causing Windows users to experience 0x0000011b errors when printing to network printers.,0
"This week, we announced the latest release of MVISION Unified Cloud Edge, which included a number of great data protection enhancements. With working patterns and data workflows dramatically changed in 2020, this release couldn’t be more timely. According to a report by Gartner earlier in 2020, 88% of organizations have encouraged or required employees to […]
The post Finally, True Unified Multi-Vector Data Protection in a Cloud World (https://www.mcafee.com/blogs/enterprise/cloud-security/finally-true-unified-multi-vector-data-protection-in-a-cloud-world/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Critical Cloud Bug in VMWare Carbon Black Allows Takeover
https://threatpost.com/critical-cloud-bug-vmware-carbon-black/165278/

CVE-2021-21982 affects a platform designed to secure private clouds, and the virtual servers and workloads that they contain.",0
"Zero-Day Bug Impacts Problem-Plagued Cisco SOHO Routers
https://threatpost.com/zero-day-bug-soho-routers/165321/

Cisco says it will not patch three small business router models and one VPN firewall device with critical vulnerabilities.",0
"Alan Turing’s £50 banknote officially unveiled
https://nakedsecurity.sophos.com/2021/03/26/alan-turings-50-banknote-officially-unveiled/

If only he'd been treated like this in his ilfetime: the computing pioneer who knew ""this is only a foretaste"".",0
"Poppy Gustafsson: the Darktrace tycoon in new cybersecurity era
https://www.theguardian.com/business/2021/apr/17/poppy-gustafsson-the-darktrace-tycoon-in-new-cybersecurity-era

Gustafsson’s firm, founded when she was 30, is marketed as a digital parallel of a human body fighting illnessPoppy Gustafsson runs a cutting-edge and gender-diverse cybersecurity firm on the brink of a £3bn stock market debut (https://www.theguardian.com/business/2021/apr/12/cybersecurity-darktrace-ipo-london-stock-exchange), but she is happy to reference pop culture classic the Terminator to help describe what Darktrace actually does.Launched in Cambridge eight years ago by an unlikely alliance of mathematicians, former spies from GCHQ and the US and artificial intelligence (AI) experts, Darktrace provides protection, enabling businesses to stay one step ahead of increasingly smarter and dangerous hackers and viruses. Related: Huge rise in hacking attacks on home workers during lockdown (https://www.theguardian.com/technology/2020/may/24/hacking-attacks-on-home-workers-see-huge-rise-during-lockdown)  Continue reading... (https://www.theguardian.com/business/2021/apr/17/poppy-gustafsson-the-darktrace-tycoon-in-new-cybersecurity-era)",1
"Attention Android Users: This Free VPN App Leaked the Data of 21 Million Users
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/attention-android-users-this-free-vpn-app-leaked-the-data-of-21-million-users/",0
"Lazarus Targets Defense Companies with ThreatNeedle Malware
https://threatpost.com/lazarus-targets-defense-threatneedle-malware/164321/

A spear-phishing campaigned linked to a North Korean APT uses “NukeSped” malware in cyberespionage attacks against defense companies.",1
"80% of Net Neutrality Comments to FCC Were Fudged
https://threatpost.com/net-neutrality-comments-fcc-fudged/165943/

NY's AG: Millions of fake comments – in favor and against –  came from a secret broadband-funded campaign or from a 19-year-old's fake identities.",0
"LinkedIn Spear-Phishing Campaign Targets Job Hunters
https://threatpost.com/linkedin-spear-phishing-job-hunters/165240/

Fake job offers lure professionals into downloading the more_eggs backdoor trojan.",1
"Adobe Critical Code-Execution Flaws Plague Windows Users
https://threatpost.com/adobe-critical-flaws-windows/164611/

The critical flaws exist in Adobe Framemaker, Connect and the Creative Cloud desktop application for Windows.",0
"Through Your Mind’s Eye: What Biases Are Impacting Your Security Posture?
https://www.mcafee.com/blogs/other-blogs/executive-perspectives/through-your-minds-eye-what-biases-are-impacting-your-security-posture/",0
