,raw_text,fraud,hacker groups,government,corporation,unrelated,darknet,cyber defense,hacking,security concepts,security products,network security,cyberwar,geopolitical,data breach,vulnerability,platform,cyber attack
19,"Top Phishing Lures to Look Out for This Holiday Season And just like that, the holidays are here! That means it’s time to grab your devices and credit cards for some online holiday shopping. But while you plan to share the merry and shop for gifts, criminals are preparing some not-so-festive tricks of their own. According […]
The post Top Phishing Lures to Look Out for This Holiday Season (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/top-phishing-lures-to-look-out-for-this-holiday-season/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,"2020 Hindsight – Top 10 Highlights from McAfee
https://www.mcafee.com/blogs/enterprise/2020-hindsight-top-10-highlights-from-mcafee/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,"2020 has been a tumultuous and unpredictable year, where we restructured our lives and redefined how we work and interact with each other. In the past nine months, we saw IT security and the digital world challenged and taken to new heights. Although 2020 has undoubtedly been a year of trials and tribulations, I wanted […]
The post 2020 Hindsight – Top 10 Highlights from McAfee (https://www.mcafee.com/blogs/enterprise/2020-hindsight-top-10-highlights-from-mcafee/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,"Energy Company Fights Back with MVISION EDR as Covid-19 Increases Threat Campaigns
https://www.mcafee.com/blogs/enterprise/endpoint-security/energy-company-fights-back-with-mvision-edr-as-covid-19-increases-threat-campaigns/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,"Over the past 9 months, the world has grappled with the COVID-19 pandemic. We have all felt vulnerable. With borders closed and curfews and lockdowns instituted, things that we can count on, like reliable energy and technology, have become more essential than ever… Especially now that most of us have to conduct work from home, […]
The post Energy Company Fights Back with MVISION EDR as Covid-19 Increases Threat Campaigns (https://www.mcafee.com/blogs/enterprise/endpoint-security/energy-company-fights-back-with-mvision-edr-as-covid-19-increases-threat-campaigns/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"Securing Containers with NIST 800-190 and MVISION CNAPP
https://www.mcafee.com/blogs/enterprise/cloud-security/securing-containers-with-nist-800-190-and-mvision-cnapp/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,"Government and Private Sector organizations are transforming their businesses by embracing DevOps principles, microservice design patterns, and container technologies across on-premises, cloud, and hybrid environments. Container adoption is becoming mainstream to drive digital transformation and business growth and to accelerate product and feature velocity. Companies have moved quickly to embrace cloud native applications and infrastructure […]
The post Securing Containers with NIST 800-190 and MVISION CNAPP (https://www.mcafee.com/blogs/enterprise/cloud-security/securing-containers-with-nist-800-190-and-mvision-cnapp/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,"10 Reasons to Celebrate 2020
https://www.mcafee.com/blogs/enterprise/10-reasons-to-celebrate-2020/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,"Everyone deserves a break after surviving this past year and I cannot think of better way to celebrate than to share some of our greatest accomplishments from 2020. 1. January 2020 Gartner Peer Insights VOC Customers’ Choice for CASB   McAfee was the only vendor to be named the January 2020 Gartner Peer Insights ‘Voice […]
The post 10 Reasons to Celebrate 2020 (https://www.mcafee.com/blogs/enterprise/10-reasons-to-celebrate-2020/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,"Top Ten Tips for Protecting Your Identity, Finances, and Security Online
https://www.mcafee.com/blogs/consumer/top-ten-tips-for-protecting-your-identity-finances-and-security-online/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,"Top Ten Tips for Protecting Your Identity, Finances, and Security Online Whether you’re working, banking, shopping, or just streaming a few shows online, these quick tips will make sure you’re more secure from hacks, attacks, and prying eyes. 1 – Protect your computers Start with the basics: get strong protection for your computers and laptops. […]
The post Top Ten Tips for Protecting Your Identity, Finances, and Security Online (https://www.mcafee.com/blogs/consumer/top-ten-tips-for-protecting-your-identity-finances-and-security-online/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,"How OCA Empowers Your XDR Journey
https://www.mcafee.com/blogs/enterprise/security-operations/how-oca-empowers-your-xdr-journey/",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,"eXtended Detection & Response (XDR) has become an industry buzzword promising to take detection and response to new heights and improving security operations effectiveness. Not only are customers and vendors behind this but industry groups like Open Cybersecurity Alliance (OCA) share this same goal and there are some open projects to leverage for this effort. […]
The post How OCA Empowers Your XDR Journey (https://www.mcafee.com/blogs/enterprise/security-operations/how-oca-empowers-your-xdr-journey/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,"SUNBURST Malware and SolarWinds Supply Chain Compromise
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/sunburst-malware-and-solarwinds-supply-chain-compromise/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,"Part I of II Situation In a blog post released 13 Dec 2020, FireEye disclosed that threat actors compromised SolarWinds’s Orion IT monitoring and management software with a trojanized version of SoalrWinds.Orion.Core.BusinessLayer.dll. The trojanized file delivers the SUNBURST malware through a backdoor as part of a digitally-signed Windows Installer Patch. Use of a Compromised Software Supply […]
The post SUNBURST Malware and SolarWinds Supply Chain Compromise (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/sunburst-malware-and-solarwinds-supply-chain-compromise/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,"Adrozek Malware is Wreaking Havoc on Web Browsers: How to Stay Protected
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/adrozek-malware-is-wreaking-havoc-on-web-browsers-how-to-stay-protected/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,"Adrozek Malware is Wreaking Havoc on Web Browsers: How to Stay Protected Every few weeks, there seems to be breaking news about large-scale data breaches that affect millions – but what about the lesser-known threats that lurk quietly in the shadows? Oftentimes, these are the scams that could wreak havoc on our day-to-day digital lives. […]
The post Adrozek Malware is Wreaking Havoc on Web Browsers: How to Stay Protected (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/adrozek-malware-is-wreaking-havoc-on-web-browsers-how-to-stay-protected/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,"3 Reasons Why Connected Apps are Critical to Enterprise Security
https://www.mcafee.com/blogs/enterprise/cloud-security/3-reasons-why-connected-apps-are-critical-to-enterprise-security/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,"Every day, new apps are developed to solve problems and create efficiency in individuals’ lives.  Employees are continually experimenting with new apps to enhance productivity and simplify complex matters. When in a pinch, using DropBox to share large files or an online PDF editor for quick modifications are commonalities among employees. However, these apps, although useful, may not be sanctioned or observable by an IT department. The rapid adoption of […]
The post 3 Reasons Why Connected Apps are Critical to Enterprise Security (https://www.mcafee.com/blogs/enterprise/cloud-security/3-reasons-why-connected-apps-are-critical-to-enterprise-security/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,"Additional Analysis into the SUNBURST Backdoor
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/additional-analysis-into-the-sunburst-backdoor/",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,"Executive Summary There has been considerable focus on the recent disclosures associated with SolarWinds, and while existing analysis on the broader campaign has resulted in detection against specific IoCs associated with the Sunburst trojan, the focus within the Advanced Threat Research (ATR) team has been to determine the possibility of additional persistence measures. Our analysis […]
The post Additional Analysis into the SUNBURST Backdoor (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/additional-analysis-into-the-sunburst-backdoor/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,"Finding the Success Among the Pandemonium that is 2020
https://www.mcafee.com/blogs/other-blogs/executive-perspectives/finding-the-success-among-the-pandemonium-that-is-2020/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,"Even the best psychics, science fiction and horror writers could not have predicted or written 2020.   It’s been quite the year. I am thankful that it’s almost over.  The COVID-19 Coronavirus started a global lockdown that sent millions of people to work from home, or wherever they could shelter in place. Personally, working at home didn’t seem like a bad option at the time.  But after 8 […]
The post Finding the Success Among the Pandemonium that is 2020 (https://www.mcafee.com/blogs/other-blogs/executive-perspectives/finding-the-success-among-the-pandemonium-that-is-2020/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,"Best Smart Home Devices for a Connected New Year
https://www.mcafee.com/blogs/consumer/best-smart-home-devices-for-a-connected-new-year/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43," Like many of you, I spent a lot of time at home this year, but it came with an unexpected upside: an excuse to upgrade all my home tech! With so many great new products on the market, from 5G devices to smart TVs, cameras, and more, there’s a lot to choose from this holiday […]
The post Best Smart Home Devices for a Connected New Year (https://www.mcafee.com/blogs/consumer/best-smart-home-devices-for-a-connected-new-year/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,"Organizations across the country – from the private sector to the federal government –  have become more digital, especially following the shift to remote work this year. It’s no surprise that cybercriminals around the world have taken notice. According to a new report by McAfee and the Center for Strategic and International Studies (CSIS), cybercrime is now […]
The post The Hidden Costs of Cybercrime on Government (https://www.mcafee.com/blogs/other-blogs/executive-perspectives/the-hidden-costs-of-cybercrime-on-government/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,"The Hidden Costs of Cybercrime on Government
https://www.mcafee.com/blogs/other-blogs/executive-perspectives/the-hidden-costs-of-cybercrime-on-government/",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,"McAfee MVISION for Endpoint is FedRAMP Moderate As Federal Cloud Usage Continues to Rise
https://www.mcafee.com/blogs/enterprise/endpoint-security/mcafee-mvision-for-endpoint-is-fedramp-moderate-as-federal-cloud-usage-continues-to-rise/",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,"Last month, I discussed the FedRAMP program’s basics and why it’s such a big deal for the federal government. In short, the program protects the data of U.S. citizens in the cloud and promotes the adoption of secure cloud services across the government with a standardized approach. But within the FedRAMP program, there are different authorizations. We’re […]
The post McAfee MVISION for Endpoint is FedRAMP Moderate As Federal Cloud Usage Continues to Rise (https://www.mcafee.com/blogs/enterprise/endpoint-security/mcafee-mvision-for-endpoint-is-fedramp-moderate-as-federal-cloud-usage-continues-to-rise/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,"Finally, True Unified Multi-Vector Data Protection in a Cloud World
https://www.mcafee.com/blogs/enterprise/cloud-security/finally-true-unified-multi-vector-data-protection-in-a-cloud-world/",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,"This week, we announced the latest release of MVISION Unified Cloud Edge, which included a number of great data protection enhancements. With working patterns and data workflows dramatically changed in 2020, this release couldn’t be more timely. According to a report by Gartner earlier in 2020, 88% of organizations have encouraged or required employees to […]
The post Finally, True Unified Multi-Vector Data Protection in a Cloud World (https://www.mcafee.com/blogs/enterprise/cloud-security/finally-true-unified-multi-vector-data-protection-in-a-cloud-world/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,"How A Device to Cloud Architecture Defends Against the SolarWinds Supply Chain Compromise
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/how-a-device-to-cloud-architecture-defends-against-the-solarwinds-supply-chain-compromise/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
51,"In a blog post released 13 Dec 2020, FireEye disclosed that threat actors compromised SolarWinds’s Orion IT monitoring and management software with a trojanized version of SoalrWinds.Orion.Core.BusinessLayer.dll delivered as part of a digitally-signed Windows Installer Patch. The trojanized file delivers a backdoor, dubbed SUNBURST by FireEye (and Solorigate by Microsoft), that communicates to third-party servers for […]
The post How A Device to Cloud Architecture Defends Against the SolarWinds Supply Chain Compromise (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/how-a-device-to-cloud-architecture-defends-against-the-solarwinds-supply-chain-compromise/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
52,"ST25: Absicherung von Cloud-nativen Anwendungen
https://www.mcafee.com/blogs/other-blogs/podcast/st25-absicherung-von-cloud-nativen-anwendungen/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,"Die Cloud ist und bleibt ein Treiber für die digitale Transformation. Nachdem der Fokus primär auf die Erkennung von Shadow-IT und die Absicherung von SaaS-Diensten lag, wandert nun der Blick auf längerfristige Projekte: Die Migration von ganzen Diensten und Anwendungen in Richtung Cloud. In diesem Podcast sprechen wir daher über die Themen Infrastruktur und Container […]
The post ST25: Absicherung von Cloud-nativen Anwendungen (https://www.mcafee.com/blogs/other-blogs/podcast/st25-absicherung-von-cloud-nativen-anwendungen/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,"2020 In Review: The Top 10 Most Popular Life at McAfee Blogs
https://www.mcafee.com/blogs/other-blogs/life-at-mcafee/2020-in-review-the-top-10-most-popular-life-at-mcafee-blogs/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,"2020 has been quite the year for many, and through it all, we’re reflecting on everything we are thankful for. This includes the incredible stories and invaluable perspectives that come from our McAfee team members around the world. As the year ends, we’re counting down the top 10 most read Life at McAfee blog stories. These are the stories from our team members that you love to read, and we love to tell!    10. One Team Member […]
The post 2020 In Review: The Top 10 Most Popular Life at McAfee Blogs (https://www.mcafee.com/blogs/other-blogs/life-at-mcafee/2020-in-review-the-top-10-most-popular-life-at-mcafee-blogs/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,"McAfee Security Innovation Alliance 2020 MPOWER Awards
https://www.mcafee.com/blogs/other-blogs/mcafee-partners/mcafee-security-innovation-alliance-2020-mpower-awards/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,"McAfee, the device-to-cloud cybersecurity company, announced the winners of its distinguished SIA Partner Awards. The 2020 awards recognize partners who demonstrated innovation, strategic value, and market leadership in their respective market segments which are a complement to the McAfee solution portfolio. 2020 has been a difficult year for everyone that has required organizations to be […]
The post McAfee Security Innovation Alliance 2020 MPOWER Awards (https://www.mcafee.com/blogs/other-blogs/mcafee-partners/mcafee-security-innovation-alliance-2020-mpower-awards/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,"Why SolarWinds-SUNBURST is a Wake up Call
https://www.mcafee.com/blogs/other-blogs/executive-perspectives/why-solarwinds-sunburst-is-a-wake-up-call/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,"On December 13, 2020, FireEye announced that threat actors had compromised SolarWinds’s Orion IT monitoring and management software and used it to distribute a software backdoor to dozens of that company’s customers, including several high profile U.S. government agencies. Game Changing Attack Vector This campaign is the first major supply chain attack of its kind […]
The post Why SolarWinds-SUNBURST is a Wake up Call (https://www.mcafee.com/blogs/other-blogs/executive-perspectives/why-solarwinds-sunburst-is-a-wake-up-call/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60,"Looking Ahead to 2021: The Things We’ll Carry Forward
https://www.mcafee.com/blogs/consumer/looking-ahead-to-2021-the-things-well-carry-forward/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,"Looking Ahead to 2021: The Things We’ll Carry Forward Right now, I’m thinking about how my life changed in 2020. Not so much in the sweeping and upending ways. More in the little ways. I’m thinking about the coping ways. The cobble-it-all-together ways. The little changes to make things work ways. There were plenty.  Now, […]
The post Looking Ahead to 2021: The Things We’ll Carry Forward (https://www.mcafee.com/blogs/consumer/looking-ahead-to-2021-the-things-well-carry-forward/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,"Bring on 2021!
https://www.mcafee.com/blogs/enterprise/bring-on-2021/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,"4 Ways to Help Your Family Combat Cyber Threats in the New Year
https://www.mcafee.com/blogs/consumer/family-safety/4-ways-to-help-your-family-combat-cyber-threats-in-the-new-year/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,"No doubt, we have a lot to be hopeful for as we step into the New Year. We’ve adapted, survived, and learned to thrive under extraordinary circumstances. While faced with plenty of challenges, families successfully transitioned to working and learning from home like pros. So, as we set our intentions for 2021, we will need […]
The post 4 Ways to Help Your Family Combat Cyber Threats in the New Year (https://www.mcafee.com/blogs/consumer/family-safety/4-ways-to-help-your-family-combat-cyber-threats-in-the-new-year/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,"The Road to XDR
https://www.mcafee.com/blogs/enterprise/security-operations/the-road-to-xdr/",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,"XDR (eXtended Detection and Response) is a cybersecurity acronym being used by most vendors today.  It is not a new strategy. It’s been around for a while but the journey for customers and vendors has been slow for many reasons. For McAfee, XDR has been integral to our vision, strategy and design philosophy that has […]
The post The Road to XDR (https://www.mcafee.com/blogs/enterprise/security-operations/the-road-to-xdr/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,"McAfee Welcomes its ISO 27701 Certificate!
https://www.mcafee.com/blogs/enterprise/data-security/mcafee-welcomes-its-iso-27701-certificate/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,"This post was also written by Darragh McMahon At McAfee, we adhere to a set of core values and principles – We Put the Customer at The Core, We Achieve Excellence with Speed and Agility, We Play to Win or We Don’t Play, We Practice Inclusive Candor and Transparency. And reaching the ISO 27701 enshrines […]
The post McAfee Welcomes its ISO 27701 Certificate! (https://www.mcafee.com/blogs/enterprise/data-security/mcafee-welcomes-its-iso-27701-certificate/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,"2021 Threat Predictions Report
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/2021-threat-predictions-report/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,"The December 2020 revelations around the SUNBURST campaigns exploiting the SolarWinds Orion platform have revealed a new attack vector – the supply chain – that will continue to be exploited. The ever-increasing use of connected devices, apps and web services in our homes will also make us more susceptible to digital home break-ins. This threat […]
The post 2021 Threat Predictions Report (https://www.mcafee.com/blogs/other-blogs/mcafee-labs/2021-threat-predictions-report/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
71,"Top Security Threats to Look Out for in 2021
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/top-security-threats-to-look-out-for-in-2021/

Top Cyber Security Threats to Look Out for in 2021 2020 was unexpectedly  defined by a global pandemic. Throughout the year, we have all had to figure out how to best live our lives online – from working from home to distance learning to digitally connecting with loved ones.  As 2020 comes to a close, we […]
The post Top Security Threats to Look Out for in 2021 (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/top-security-threats-to-look-out-for-in-2021/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,"A Year in Review: Threat Landscape for 2020
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/a-year-in-review-threat-landscape-for-2020/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
